,acousticness,danceability,instrumentalness,valence,energy,target
Freak_Connection_-_Edit***Cerrone,0.00236,0.733,0.00102,0.657,0.87,1
"I'll_Be_Good_-_12""_Mix***Rene_&_Angela",0.0602,0.803,0.000627,0.726,0.579,1
Here_I_Come_(Broader_Than_Broadway)***Barrington_Levy,0.219,0.698,0.0,0.712,0.515,1
Swords***M.I.A.,0.0138,0.677,0.0,0.742,0.905,1
Hands_On_The_Wheel***ScHoolboy_Q,0.0169,0.648,0.0,0.176,0.862,1
Kush_High***Eighty4_Fly,0.315,0.65,0.0,0.193,0.448,1
Métele***Buscabulla,0.518,0.672,0.26,0.356,0.527,1
What_I_Might_Do***Ben_Pearce,0.0567,0.838,0.799,0.357,0.537,1
Atomic_Bomb***William_Onyeabor,0.0286,0.76,0.00691,0.965,0.391,1
World_Restart***Kindness,0.00909,0.646,0.000124,0.408,0.621,1
Swingin'_Party***Kindness,0.0445,0.808,0.3,0.458,0.687,1
Antidote***Travis_Scott,0.119,0.716,1.38e-05,0.159,0.647,1
Pieces***Tanlines,0.0111,0.846,0.00257,0.825,0.501,1
Zombie***Fela_Kuti,0.388,0.704,0.0147,0.584,0.942,1
Time-Out***Terror_Train,2.84e-06,0.305,0.00245,0.463,0.827,1
Let's_Lovedance_Tonight_-_Danny_Krivit_Re-edit_-_Dk_Re-Edit***Gary's_Gang,0.0115,0.82,0.445,0.972,0.616,1
I'm_a_Dildo***No_Parents,0.136,0.185,0.0,0.322,0.89,1
Do_It_(High_School_Dropout)***Tayyib_Ali,0.00328,0.562,0.0,0.634,0.801,1
Cadillac_Girl***Only_Real,0.376,0.565,0.000121,0.782,0.86,1
Today***Tom_Scott,0.196,0.464,0.0088,0.627,0.772,1
"The_Buzz_(feat._Big_K.R.I.T.,_Mataya_&_Young_Tapz)_-_Bonus_Track***Hermitude",0.248,0.576,0.000609,0.57,0.602,1
I_Choose_You***Willie_Hutch,0.0686,0.388,0.0,0.641,0.598,1
The_Way_You’d_Love_Her***Mac_Demarco,0.602,0.637,0.119,0.931,0.498,1
Shooting_Stars***Bag_Raiders,0.0893,0.636,0.0178,0.444,0.72,1
Bloom_-_Lane_8_Remix***ODESZA,0.000141,0.688,0.92,0.757,0.587,1
Pacifier***Young_Thug,0.0469,0.766,0.0,0.401,0.82,1
Powerful***Major_Lazer,0.133,0.402,0.0,0.706,0.794,1
Unbreakable***Janet_Jackson,0.157,0.599,0.0,0.44,0.524,1
It's_Strange_(feat._K.Flay)***Louis_The_Child,0.371,0.837,0.0401,0.407,0.492,1
Make_Them_Gold***CHVRCHES,0.0124,0.612,0.0,0.451,0.858,1
Don't_Mean_A_Thing***Lapalux,0.19,0.63,0.753,0.142,0.671,1
White_Lies_-_The_Soundmen_Remix***Max_Frost,0.0953,0.614,0.0559,0.477,0.858,1
Sophia_So_Far***Goodnight_Radio,0.27,0.446,0.661,0.503,0.89,1
Nimble_Girl***Hotel_Eden,0.0846,0.481,0.907,0.852,0.851,1
Grinder***Gary_Clark_Jr.,0.00855,0.293,0.0111,0.696,0.792,1
Choices_(Yup)***E-40,0.128,0.889,0.0004,0.261,0.597,1
Two_Brothers***Hanni_El_Khatib,0.088,0.673,0.0108,0.457,0.857,1
Walkabout_(W/_Noah_Lennox)***Atlas_Sound,0.0406,0.536,8.92e-05,0.368,0.922,1
Ferus_Gallery***Allah-Las,0.0377,0.575,0.563,0.718,0.691,1
Everybody_Loves_The_Sunshine***Roy_Ayers_Ubiquity,0.021,0.571,0.0,0.538,0.719,1
Number_One***Tuxedo,0.0466,0.784,1.57e-05,0.79,0.803,1
Sick_Beat***Kero_Kero_Bonito,0.16,0.746,0.0,0.836,0.682,1
She_a_Go_(feat._Spinn_&_Taso)***DJ_Rashad,0.00266,0.444,0.0299,0.294,0.498,1
Lost_You***Zeds_Dead,0.0833,0.736,0.000349,0.512,0.882,1
Norf_Norf***Vince_Staples,0.445,0.915,3.63e-05,0.113,0.54,1
Eleven_11:_/_11***Rob_Curly,0.304,0.75,0.0,0.504,0.835,1
Buffalo***Toro_y_Moi,0.109,0.632,0.0,0.602,0.519,1
Talk_About***Les_Sins,0.0152,0.814,0.36,0.287,0.83,1
Probably_Nu_It***Tree,0.273,0.893,0.0,0.642,0.378,1
Mamacita***Travis_Scott,0.0146,0.823,1.03e-06,0.207,0.768,1
Star***Gary_Clark_Jr.,0.0573,0.639,0.0294,0.553,0.749,1
Gooey***Glass_Animals,0.726,0.49,2.54e-05,0.107,0.376,1
Walk_On_By_-_Single_Version***Isaac_Hayes,0.0487,0.289,0.000293,0.366,0.523,1
Omen_-_Radio_Edit***Disclosure,0.111,0.615,0.0,0.664,0.781,1
Champagne_Coast***Blood_Orange,0.0207,0.808,0.364,0.752,0.41,1
Running_Back_To_You***The_Juan_Maclean,0.102,0.775,0.582,0.961,0.528,1
BKNY***Fat_Tony,0.00757,0.393,0.145,0.474,0.838,1
Pains***Silk_Rhodes,0.01,0.449,0.122,0.118,0.416,1
Night_Drive***Part_Time,2.24e-05,0.595,0.835,0.131,0.549,1
"Flex_(Ooh,_Ooh,_Ooh)***Rich_Homie_Quan",0.038,0.728,0.0,0.904,0.62,1
Indian_Food***Dumbo_Gets_Mad,0.765,0.561,0.685,0.654,0.896,1
Childs_Play_(feat._Chance_the_Rapper)***SZA,0.775,0.758,0.0,0.218,0.343,1
Lets_Start_the_Dance***Bohannon,0.000429,0.782,0.121,0.872,0.938,1
Rollerskate***Matias_Aguayo,0.323,0.839,0.0505,0.45,0.48,1
Outro***M83,0.0301,0.226,0.0677,0.0795,0.261,1
Grindin’_My_Whole_Life***HS87,0.268,0.763,4.37e-06,0.369,0.623,1
Slyd***!!!,0.0626,0.858,0.243,0.593,0.717,1
The_Moment***Tame_Impala,0.000239,0.329,0.0944,0.403,0.814,1
R.I.C.O._(feat._Drake)***Meek_Mill,0.317,0.727,0.0,0.381,0.599,1
Black_And_White***Parquet_Courts,0.00605,0.318,0.832,0.683,0.975,1
Never_Never_Gonna_Give_Ya_Up***Barry_White,0.0818,0.61,0.0,0.938,0.791,1
Wait_&_See***Holy_Ghost!,0.0021,0.646,0.00626,0.935,0.892,1
Wait_for_a_Minute***tUnE-yArDs,0.016,0.79,0.13,0.373,0.616,1
5ft7***Tonstartssbandht,0.0385,0.484,0.66,0.193,0.492,1
200_Press***James_Blake,0.304,0.785,0.403,0.626,0.573,1
Huarache_Lights***Hot_Chip,0.113,0.715,0.0418,0.398,0.64,1
Leave_House***Caribou,0.0414,0.811,0.142,0.752,0.635,1
"Sweet_Power,_Your_Embrace***James_Mason",0.704,0.597,0.0119,0.854,0.721,1
Hunger_Of_The_Pine***alt-J,0.785,0.6,0.0289,0.0768,0.413,1
Money_Money***Horace_Andy,0.629,0.811,1.4e-05,0.72,0.461,1
Symptom_-_Original_Mix***Deapmash,0.0167,0.797,0.919,0.355,0.961,1
I'll_Do_a_Little_Bit_More***The_Olympics,0.391,0.799,3.16e-06,0.956,0.657,1
Who_Is_He_And_What_Is_He_To_You***Creative_Source,0.0301,0.769,0.016,0.719,0.514,1
Bustin'_Loose***Chuck_Brown_and_the_Soul_Searchers,0.27,0.865,0.0488,0.939,0.896,1
I_Wish***Stevie_Wonder,0.107,0.826,7.71e-05,0.919,0.751,1
Baby***Donnie_&_Joe_Emerson,0.96,0.508,0.00259,0.271,0.325,1
More_Bounce_To_The_Ounce***Zapp,0.124,0.85,0.00135,0.845,0.818,1
Outlaw***War,0.0245,0.819,0.358,0.84,0.684,1
Walking_Into_Sunshine***Central_Line,0.0194,0.896,0.033,0.847,0.482,1
Pyramids***Frank_Ocean,0.0129,0.401,7.72e-05,0.173,0.661,1
Lazuli***Beach_House,0.0106,0.346,0.685,0.711,0.808,1
Oblivion***Grimes,0.115,0.697,0.901,0.483,0.529,1
Obedear***Purity_Ring,0.195,0.605,0.0135,0.136,0.732,1
Flutes***Hot_Chip,0.034,0.691,0.00225,0.334,0.71,1
Club_Rez***Girl_Unit,0.0079,0.428,0.935,0.0576,0.74,1
Cry_Like_A_Ghost***Passion_Pit,0.00525,0.555,0.0,0.319,0.612,1
Chained***The_xx,0.482,0.732,0.809,0.191,0.468,1
Disparate_Youth***Santigold,0.0124,0.633,0.689,0.512,0.926,1
Cheap_Beer***FIDLAR,0.000199,0.284,0.0,0.199,0.961,1
Swimming_Pools_(Drank)_-_Extended_Version***Kendrick_Lamar,0.119,0.68,2.86e-05,0.261,0.489,1
Origins***Tennis,0.0463,0.578,0.0201,0.959,0.825,1
Affection***Crystal_Castles,0.0602,0.658,0.00781,0.568,0.835,1
Comeback_Kid***Sleigh_Bells,0.00914,0.385,0.522,0.52,0.902,1
Losing_You***Solange,0.0555,0.735,0.0627,0.469,0.798,1
Grown_Up***Danny_Brown,0.132,0.635,0.0,0.675,0.766,1
"It's_Not_My_Fault,_I'm_Happy***Passion_Pit",0.0101,0.569,0.0145,0.291,0.857,1
How_Deep_Is_Your_Love?***The_Rapture,0.000613,0.469,0.000829,0.138,0.823,1
Are_you..._Can_you..._Were_you?_(Felt)***Shabazz_Palaces,0.0571,0.502,0.054,0.207,0.632,1
Second_Song***TV_On_The_Radio,0.0212,0.597,0.473,0.383,0.798,1
Mornin'***Star_Slinger,0.459,0.673,0.000237,0.551,0.764,1
Before***Washed_Out,0.198,0.507,0.865,0.17,0.739,1
Midnight_City***M83,0.0198,0.517,1.31e-06,0.331,0.491,1
Lonely_Boy***The_Black_Keys,0.00417,0.356,0.00975,0.592,0.872,1
Caffeinated_Consciousness***TV_On_The_Radio,0.00529,0.563,0.883,0.6,0.924,1
Wild_Window***Fool's_Gold,0.0039,0.567,0.0,0.697,0.876,1
Polish_Girl***Neon_Indian,0.00501,0.633,1.93e-05,0.455,0.884,1
Calgary***Bon_Iver,0.929,0.445,0.167,0.091,0.461,1
Civilization***Justice,0.00145,0.575,0.0,0.295,0.625,1
Headlines***Drake,0.369,0.662,0.000197,0.442,0.571,1
Michael_Jackson***Das_Racist,0.00096,0.573,0.00191,0.769,0.946,1
Need_You_Now***Cut_Copy,0.0244,0.605,0.586,0.367,0.755,1
Abducted***Cults,0.00632,0.374,0.0207,0.337,0.937,1
Gucci_Gucci***Kreayshawn,0.158,0.714,1.29e-05,0.897,0.924,1
Eyes_Be_Closed***Washed_Out,0.00441,0.207,0.421,0.135,0.878,1
Echoes***Washed_Out,0.0729,0.589,0.942,0.556,0.938,1
The_Daily_Mail***Radiohead,0.652,0.36,0.000128,0.144,0.362,1
Civilization***Justice,0.00091,0.516,0.0,0.238,0.66,1
Punch_Drunk_Love***Teams_vs._Star_Slinger,0.126,0.579,3.28e-05,0.67,0.767,1
Principles***Benoit_&_Sergio,0.0184,0.845,0.00581,0.346,0.59,1
Slow_Peels***Com_Truise,0.0914,0.568,0.459,0.452,0.662,1
Dead_Wrong***Hanni_El_Khatib,0.154,0.716,0.000309,0.698,0.724,1
Do_It_Roger***Zapp,0.386,0.791,0.0126,0.717,0.729,1
Pharaohs_(feat._Roses_Gabor)***SBTRKT,0.00983,0.795,0.743,0.639,0.578,1
No_Fun***The_Stooges,0.00215,0.584,0.0217,0.722,0.761,1
Computer_Love***Zapp,0.676,0.679,0.0,0.677,0.709,1
Dutchie_Courage***Star_Slinger,0.0693,0.646,0.0,0.957,0.947,1
Osaka_Loop_Line***Discovery,0.0961,0.704,0.000114,0.646,0.49,1
White_Horse***Laid_Back,0.00254,0.812,0.698,0.786,0.554,1
Abataka_-_Original_Mix***Ida_Engberg,0.394,0.76,0.775,0.992,0.971,1
Danger!_High_Voltage_(Soulchild_Radio_Mix)***Electric_Six,2.15e-05,0.657,0.153,0.531,0.699,1
Say_Please***Teams_vs._Star_Slinger,0.185,0.731,0.154,0.861,0.812,1
You_Don't_Love_Me_(No_No_No)***Dawn_Penn,0.00649,0.805,0.00772,0.753,0.596,1
The_Yes_Strut***Teams_vs._Star_Slinger,0.00947,0.718,0.711,0.54,0.844,1
86_Carrot_Gold***Teams_vs._Star_Slinger,0.0507,0.597,0.000198,0.891,0.746,1
Close_to_Me***Teams_vs._Star_Slinger,0.738,0.698,8.21e-06,0.779,0.923,1
How_Do_You_See_Me_Now***Zdar,0.000419,0.823,0.0745,0.718,0.811,1
See_Me_Now***Cassius,0.00176,0.819,0.0931,0.769,0.777,1
Every_Freakin'_-_DJ_Ayres_remix***DJ_Eleven,0.02,0.671,0.0,0.684,0.781,1
Dance_Our_Way***DJ_Eleven,0.00402,0.872,0.237,0.885,0.565,1
Flashing_Lights***DJ_Ayres,0.00241,0.85,0.0672,0.584,0.664,1
The_Daily_Mail***Radiohead,0.652,0.36,0.000128,0.144,0.362,1
Bizness***tUnE-yArDs,0.196,0.76,0.00185,0.616,0.76,1
Long_Heels_Red_Bottoms***Trina,0.0305,0.874,0.0,0.644,0.492,1
I_Wanna_Be_Your_Dog***The_Stooges,0.0229,0.527,0.155,0.12,0.871,1
Jealousy***Martin_Solveig,0.000963,0.767,0.00275,0.947,0.712,1
Embody***Sebastian,0.233,0.328,0.00517,0.709,0.827,1
Love_In_Motion_-_feat._Mayer_Hawthorne***Sebastian,0.0175,0.702,0.00165,0.484,0.773,1
Save_the_World***Swedish_House_Mafia,0.00314,0.654,0.000249,0.243,0.734,1
Myth***Beach_House,0.0369,0.448,0.0425,0.404,0.733,1
Ready_2_Go***Martin_Solveig,0.0152,0.542,0.0,0.262,0.854,1
We_Are_Young_-_The_Popopopops_Remix***Juveniles,0.00206,0.469,0.00914,0.226,0.821,1
Bop_Gun_(One_Nation)_-_Radio_Edit***Ice_Cube,0.429,0.857,5.21e-06,0.82,0.889,1
La_Funky***Destructo_feat._Oliver,0.000407,0.796,0.812,0.327,0.774,1
In_My_Mind_(Axwell_Remix)***Ivan_Gough_&_Feenixpawl_feat._Georgi_Kay,0.0401,0.67,0.0021,0.294,0.897,1
On'n'On_-_Ruined_by_Rick_Rubin***Justice,0.000299,0.697,0.00674,0.288,0.68,1
Don't_Die***Killer_Mike,0.0193,0.352,6.04e-06,0.0459,0.807,1
Van_Vogue***Azealia_Banks,0.122,0.687,0.0011,0.0397,0.799,1
How_Do_You_Do?***Hot_Chip,0.0998,0.666,0.0614,0.955,0.811,1
Night_And_Day***Hot_Chip,0.0285,0.764,0.0235,0.627,0.768,1
Don't_Deny_Your_Heart***Hot_Chip,0.0132,0.677,0.0119,0.793,0.86,1
Focused_-_feat._Kid_Cudi***Wale,0.275,0.735,0.0,0.491,0.801,1
Neptune***Lemonade,0.000483,0.286,0.00252,0.411,0.694,1
"Function_-_feat._YG,_IAmSu_&_Problem***E-40",0.00138,0.881,0.0,0.36,0.564,1
Didn't_You***Cloud_Nothings,0.0086,0.246,0.241,0.681,0.843,1
Search_Party***Small_Black,0.000248,0.515,0.156,0.707,0.876,1
Mi_Swing_es_Tropical***Nickodemus,0.0227,0.816,7.23e-05,0.968,0.894,1
Stock_Exchange***Miss_Kittin,0.00569,0.715,0.772,0.923,0.518,1
Changes***Crazy_P,0.0365,0.829,0.0233,0.688,0.637,1
Play_This_(Also)***J_Rocc,0.289,0.444,0.778,0.463,0.978,1
Obedear***Purity_Ring,0.232,0.612,0.011,0.153,0.725,1
Slow_Down***Poolside,0.0989,0.7,0.0609,0.343,0.718,1
I_Don't_Like***Chief_Keef,0.000869,0.754,0.0,0.557,0.877,1
Sleeping_Ute***Grizzly_Bear,0.148,0.327,0.00442,0.262,0.654,1
Hands_On_the_Wheel_(feat._a$Ap_Rocky)***ScHoolboy_Q,0.0173,0.646,0.0,0.173,0.778,1
The_Kids_Were_Wrong***Memoryhouse,0.00991,0.486,0.158,0.726,0.526,1
Walk_With_Me***Memoryhouse,0.473,0.551,0.664,0.137,0.504,1
Her_Fantasy***Matthew_Dear,0.0246,0.586,0.000167,0.207,0.806,1
Der_Kommissar***After_The_Fire,0.00909,0.694,0.000814,0.896,0.716,1
Slow_Down***Clyde_Carson,0.122,0.817,0.0,0.161,0.528,1
Genesis***Grimes,0.0764,0.611,0.0698,0.233,0.677,1
About_to_Die***Dirty_Projectors,0.419,0.727,0.0,0.794,0.657,1
Best_Night***The_War_On_Drugs,0.229,0.485,0.784,0.295,0.793,1
Brothers***The_War_On_Drugs,0.0413,0.52,0.725,0.524,0.872,1
We_Own_The_Sky***M83,0.000105,0.399,0.0456,0.244,0.761,1
Chicken_Half***Sugarman_Three,0.52,0.582,0.779,0.902,0.903,1
Two_Of_Hearts***Stacey_Q,0.0833,0.852,0.0,0.648,0.523,1
The_Perfect_Kiss***New_Order,0.0156,0.623,0.0769,0.847,0.806,1
Can_I_Kick_It?***A_Tribe_Called_Quest,0.145,0.844,0.00351,0.747,0.688,1
Sure_Thing***Miguel,0.0275,0.684,0.000311,0.508,0.603,1
Kim_&_Jessie***M83,0.000103,0.498,0.528,0.228,0.553,1
Outro***M83,0.0329,0.162,0.122,0.0778,0.254,1
We_Are_the_People***Empire_of_the_Sun,0.0842,0.671,0.0121,0.545,0.784,1
Look_At_Where_We_Are***Hot_Chip,0.597,0.792,0.000106,0.677,0.387,1
Don't_Owe_You_a_Thang***Gary_Clark_Jr.,0.0801,0.417,0.00141,0.376,0.944,1
Money_Trees***Kendrick_Lamar,0.0726,0.739,0.0,0.374,0.526,1
Hood_Pass_Intact_feat._MC_Eiht***Dâm-Funk,0.203,0.791,0.0,0.62,0.916,1
Got_No_Money***FIDLAR,0.00341,0.491,0.348,0.964,0.935,1
Birthday_Song***2_Chainz,0.0581,0.748,0.0,0.162,0.586,1
Oh***FIDLAR,7.79e-05,0.351,0.129,0.604,0.931,1
No_Waves***FIDLAR,0.001,0.48,0.000273,0.579,0.964,1
Wake_Bake_Skate***FIDLAR,3.41e-05,0.123,0.0329,0.68,0.963,1
No_Ass***FIDLAR,0.00814,0.401,0.878,0.405,0.972,1
Black_Out_Stout***FIDLAR,0.00023,0.228,0.848,0.499,0.886,1
Plague***Crystal_Castles,0.0214,0.465,0.79,0.0451,0.633,1
Kerosene***Crystal_Castles,0.11,0.438,0.0,0.0759,0.539,1
Wrath_Of_God***Crystal_Castles,0.0036,0.396,0.531,0.351,0.601,1
Pale_Flesh***Crystal_Castles,0.000183,0.596,0.00767,0.52,0.628,1
Past_Lives***DIIV,0.000964,0.276,0.858,0.547,0.766,1
Pictures_Of_Matchstick_Men***Status_Quo,0.104,0.241,0.00042,0.506,0.588,1
Get_Up***Craig_Bratley,0.000341,0.821,0.909,0.269,0.902,1
Cloud_Atlas_End_Title***Tom_Tykwer,0.854,0.354,0.8,0.0745,0.228,1
Keep_You***Wild_Belle,0.0372,0.638,0.00748,0.915,0.897,1
Anything_New***Bibio,0.0101,0.651,0.000186,0.711,0.642,1
Adorn***Miguel,0.0543,0.625,4.07e-05,0.223,0.576,1
Louie_Louie***Toots_&_The_Maytals,0.169,0.759,0.0687,0.752,0.772,1
Under_Mi_Sensi***Barrington_Levy,0.0175,0.726,0.0,0.494,0.664,1
Loner***Burial,0.8,0.611,0.872,0.322,0.9,1
Murderer***Barrington_Levy,0.0845,0.865,0.158,0.619,0.549,1
Space_Cakes_-_Original***Tanner_Ross,0.00135,0.794,0.883,0.314,0.481,1
"There,_There***Radiohead",0.0193,0.614,0.518,0.726,0.677,1
Nightcall***Kavinsky,0.0113,0.535,0.00751,0.431,0.857,1
Jacket_&_Tie***Toyan,0.453,0.815,0.0,0.813,0.672,1
Doom_And_Gloom_-_Jeff_Bhasker_Mix***The_Rolling_Stones,0.00104,0.595,0.00733,0.685,0.794,1
All_Of_Me***Tanlines,4.06e-05,0.683,0.000113,0.962,0.698,1
Females_Welcomed_(feat._Reija_Lee)***Trinidad_James,0.0829,0.722,0.0,0.606,0.619,1
Blueberry_(Pills_&_Cocaine)_(feat._Danny_Brown)***Darq_E_Freaker,0.0985,0.647,0.0,0.886,0.841,1
Max_Can't_Surf***FIDLAR,0.000455,0.428,0.000854,0.48,0.972,1
Wait_for_the_Man***FIDLAR,9.19e-06,0.325,0.000288,0.184,0.918,1
Inspector_Norse***Todd_Terje,0.074,0.912,0.762,0.891,0.781,1
Love_Sosa***Chief_Keef,0.0324,0.771,0.0,0.218,0.416,1
This_Time_Around***Softwar,0.00069,0.759,0.719,0.315,0.764,1
See_Blind_Through***Canyons,0.135,0.691,0.0291,0.675,0.737,1
Vowels_=_space_and_time***Grimes,0.139,0.701,0.0526,0.739,0.822,1
Be_A_Body***Grimes,0.263,0.736,0.663,0.144,0.58,1
Unchained_(The_Payback_/_Untouchable)***James_Brown,0.131,0.564,8.05e-06,0.582,0.912,1
Stomp_-_Dirty***5kinAndBone5,0.164,0.824,0.0,0.568,0.513,1
Borrowed_Time***Parquet_Courts,0.0451,0.406,0.722,0.822,0.74,1
Young_N********Gucci_Mane,0.116,0.762,0.0,0.781,0.883,1
All_Gold_Everything***Trinidad_James,0.078,0.54,0.0,0.62,0.77,1
What_I_Might_Do_-_Club_Mix***Ben_Pearce,0.109,0.834,0.822,0.306,0.481,1
I_Love_It_(feat._Charli_XCX)_-_Original_Version***Icona_Pop,0.00855,0.714,2.55e-05,0.824,0.905,1
Kenosha***Swearin',0.0015,0.36,0.807,0.664,0.774,1
Fineshrine***Purity_Ring,0.018,0.609,8.68e-06,0.405,0.798,1
Flow***Disclosure,0.0047,0.777,0.69,0.18,0.688,1
C'Est_La_Vie***Booba,0.135,0.749,0.0,0.196,0.647,1
Caramel***Booba,0.0202,0.67,0.00792,0.331,0.544,1
O.G***Booba,0.00627,0.684,0.0,0.245,0.637,1
HLM_3***Lunatic,0.151,0.633,0.0,0.761,0.85,1
The_Mighty_Ming_-_Original_Club_Mix***Funkagenda,0.049,0.594,0.9,0.14,0.77,1
Harlem_Shake***Baauer,0.0119,0.473,0.00218,0.293,0.794,1
Purp_Walk***Lunice,0.00207,0.931,0.461,0.865,0.606,1
Do_You_Like_It?_(Feat._Kool_A.D)***Chaz_Van_Queen,0.432,0.744,0.0,0.56,0.685,1
Gucci_On_The_Rise***Gucci_Mane,0.0452,0.752,0.0,0.611,0.783,1
Hate_Bein'_Sober***Chief_Keef,0.00469,0.821,0.0,0.321,0.469,1
Traffic***Lil_Reese,0.00271,0.908,0.0,0.256,0.513,1
Hold_Me_Back***Rick_Ross,0.0401,0.636,0.0,0.471,0.702,1
Oldie***Odd_Future,0.239,0.839,0.0,0.557,0.583,1
Started_From_the_Bottom***Drake,0.0425,0.79,0.0,0.498,0.531,1
Dum_Dum***Baauer,0.0596,0.787,0.125,0.606,0.81,1
Higher_-_Extended***Just_Blaze_and_Baauer,0.000451,0.603,0.493,0.496,0.978,1
"Gone,_Gone***Juicy_J",0.00402,0.937,0.0,0.592,0.67,1
Rock_Creek_Park***The_Blackbyrds,0.0912,0.748,0.0036,0.618,0.703,1
Leaving_Babylon***Bad_Brains,0.00741,0.727,0.0159,0.59,0.235,1
Trap_Shit_V7***UZ,0.000117,0.857,0.816,0.669,0.948,1
Good_Life_-_Original_12''_Mix***Inner_City,0.0295,0.793,0.0331,0.711,0.978,1
Big_Fun_-_Original_12''_Mix***Inner_City,0.0492,0.738,0.734,0.816,0.808,1
Piss_Test_(feat._Juicy_J_&_Dany_Brown)***A-Trak,0.00905,0.864,0.0,0.883,0.86,1
Can't_Seem_To_Make_You_Mine***Sky_Saxon_&_The_Seeds,0.0234,0.688,0.0,0.645,0.457,1
Borderline***Classixx,0.423,0.786,0.461,0.43,0.525,1
Elevate_-_Q45_Remix***Toni_Toni_Lee,0.00201,0.734,0.11,0.543,0.686,1
With_You_(feat._Alexis_Taylor)***Carte_Blanche_(feat._Alexis_Taylor),0.0196,0.765,0.0145,0.564,0.891,1
Can't_Shake_This_Feeling***Grum,0.00263,0.725,2.14e-06,0.72,0.798,1
Check_Me_Out_Like***Blaqstarr,0.014,0.962,0.642,0.361,0.592,1
Second_Summer***YACHT,0.00167,0.845,5.97e-05,0.832,0.455,1
Demon_To_Lean_On***Wavves,0.000321,0.5,0.0293,0.298,0.95,1
Walk_In_The_Park***Beach_House,0.0537,0.648,0.0439,0.851,0.547,1
Reckless_(With_Your_Love)***Azari_&_III,0.00576,0.77,0.0107,0.721,0.69,1
Reckless_(With_Your_Love)_-_Tensnake_Remix***Azari_&_III,3.13e-05,0.61,0.698,0.397,0.907,1
Never_Be_Your_Woman_(Shy_FX_Radio_Edit)_[feat._Emeli_Sandé]***Wiley,0.00318,0.663,0.00217,0.396,0.877,1
(Bonus)_Break_Her_Down***Iamsu!,0.000548,0.831,0.000362,0.356,0.373,1
Molly_Ringwald***Danny_Brown,0.0482,0.653,0.0,0.493,0.817,1
8_Feet_Tall***Problem,8.34e-05,0.72,0.0,0.555,0.748,1
36_Chamber_Flow***Flatbush_Zombies,0.769,0.808,2.07e-06,0.88,0.593,1
Trill_Hoe***Western_Tink,0.0302,0.798,0.0,0.64,0.481,1
Saturday_Love***Toro_y_Moi,0.00706,0.586,0.236,0.747,0.915,1
Sweater_Weather***The_Neighbourhood,0.15,0.695,0.000212,0.425,0.615,1
Oh_My_-_Club_Mix***The_Partysquad,0.00749,0.587,0.0126,0.13,0.784,1
Saltkin***Purity_Ring,0.0765,0.675,0.000609,0.819,0.862,1
Lofticries***Purity_Ring,0.116,0.671,0.000356,0.302,0.73,1
Get_It_In***Iamsu!,0.00221,0.632,0.0,0.393,0.793,1
My_Bad_-_Club_Mix***The_Partysquad,0.0106,0.774,0.433,0.223,0.92,1
I'm_Different***2_Chainz,0.0415,0.941,0.0,0.695,0.685,1
Get_Lucky_-_Radio_Edit***Daft_Punk,0.0426,0.794,1.07e-06,0.865,0.811,1
Had_A_Dream***EMP_DASME,0.0436,0.805,0.0,0.76,0.634,1
Recover***CHVRCHES,0.00584,0.394,0.0,0.195,0.669,1
Now_Is_Not_the_Time***CHVRCHES,0.0347,0.635,0.000184,0.345,0.459,1
MDA***Problem,0.00116,0.669,0.0,0.163,0.765,1
Pop_That***French_Montana,0.0637,0.742,0.0,0.562,0.912,1
Young_&_Gettin'_It_-_feat._Kirko_Bangz***Meek_Mill,0.244,0.624,0.0,0.862,0.752,1
Best_Wishes***Iamsu!,0.45,0.622,0.0,0.304,0.628,1
Kids***Iamsu!,0.121,0.719,0.0,0.357,0.66,1
Levitate***Paper_Diamond,0.000478,0.525,0.429,0.52,0.8,1
Get_Free_(feat._Amber_of_Dirty_Projectors)***Major_Lazer,0.14,0.525,0.117,0.791,0.538,1
Balance***Future_Islands,0.000373,0.472,0.93,0.166,0.855,1
The_Lion_-_Original_Mix***The_Partysquad,0.00417,0.9,2.04e-05,0.566,0.929,1
For_Your_Love_-_Club_Edit***The_Partysquad,0.000839,0.802,0.0212,0.407,0.586,1
For_Your_Love_-_Olav_Basoski_Remix***The_Partysquad,0.000423,0.723,0.936,0.156,0.669,1
Slippin’***Quadron,0.284,0.797,0.00859,0.958,0.508,1
Take_You_On***Peaches,0.00255,0.869,0.534,0.457,0.426,1
One_of_Those_Nights***Juicy_J,0.0302,0.756,1.98e-06,0.0681,0.595,1
Get_Lucky_-_Daft_Punk_Remix***Daft_Punk,0.0267,0.821,1.37e-05,0.91,0.793,1
No_Way_Back***Adonis,0.000891,0.806,0.864,0.436,0.772,1
Ride_The_Rhythm***On_The_House_featuring_Marshall_Jefferson,0.152,0.702,5.11e-06,0.794,0.504,1
Move_Your_Body_-_Extended_Mix***Benny_Benassi,0.0956,0.646,1.12e-06,0.229,0.929,1
Rockin'_In_The_Free_World***Neil_Young,0.000736,0.491,3.19e-05,0.516,0.883,1
Feels_Like_We_Only_Go_Backwards***Tame_Impala,0.028,0.291,0.627,0.511,0.901,1
Half_Full_Glass_of_Wine***Tame_Impala,0.274,0.683,0.0748,0.667,0.776,1
